price,sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15
221900.0,1180,5650,1180,0,1340,5650
538000.0,2570,7242,2170,400,1690,7639
180000.0,770,10000,770,0,2720,8062
604000.0,1960,5000,1050,910,1360,5000
510000.0,1680,8080,1680,0,1800,7503
1225000.0,5420,101930,3890,1530,4760,101930
257500.0,1715,6819,1715,0,2238,6819
291850.0,1060,9711,1060,0,1650,9711
229500.0,1780,7470,1050,730,1780,8113
323000.0,1890,6560,1890,0,2390,7570
662500.0,3560,9796,1860,1700,2210,8925
468000.0,1160,6000,860,300,1330,6000
310000.0,1430,19901,1430,0,1780,12697
400000.0,1370,9680,1370,0,1370,10208
530000.0,1810,4850,1810,0,1360,4850
650000.0,2950,5000,1980,970,2140,4000
395000.0,1890,14040,1890,0,1890,14018
485000.0,1600,4300,1600,0,1610,4300
189000.0,1200,9850,1200,0,1060,5095
230000.0,1250,9774,1250,0,1280,8850
385000.0,1620,4980,860,760,1400,4980
2000000.0,3050,44867,2330,720,4110,20336
285000.0,2270,6300,2270,0,2240,7005
252700.0,1070,9643,1070,0,1220,8386
329000.0,2450,6500,2450,0,2200,6865
233000.0,1710,4697,1710,0,1030,4705
937000.0,2450,2691,1750,700,1760,3573
667000.0,1400,1581,1400,0,1860,3861
438000.0,1520,6380,790,730,1520,6235
719000.0,2570,7173,2570,0,2630,6026
580500.0,2320,3980,2320,0,2580,3980
280000.0,1190,1265,1190,0,1390,1756
687500.0,2330,5000,1510,820,1460,5000
535000.0,1090,3000,1090,0,1570,5080
322500.0,2060,6659,1280,780,2020,8720
696000.0,2300,3060,1510,790,1590,3264
550000.0,1660,34848,930,730,2160,11467
640000.0,2360,6000,2360,0,1730,4700
240000.0,1220,8075,890,330,1290,7800
605000.0,2620,7553,2620,0,2620,11884
625000.0,2570,5520,2570,0,2470,5669
775000.0,4220,24186,2600,1620,2410,30617
861990.0,3595,5639,3595,0,3625,5639
685000.0,1570,2280,1570,0,1580,2640
309000.0,1280,9656,920,360,1340,8808
488000.0,3160,13603,3160,0,3050,9232
210490.0,990,8528,990,0,1228,8840
785000.0,2290,13416,2290,0,2680,13685
450000.0,1250,5963,1250,0,970,5100
1350000.0,2753,65005,2165,588,2680,72513
228000.0,1190,9199,1190,0,1190,9364
345000.0,3150,9134,1640,1510,1990,9133
600000.0,1410,4080,1000,410,1410,4080
585000.0,1980,8550,990,990,1480,6738
920000.0,2730,6000,2130,600,2730,6000
885000.0,2830,5000,2830,0,1950,5000
292500.0,2250,4495,2250,0,2250,4500
301000.0,2420,4750,2420,0,2690,4750
951000.0,3250,14342,3250,0,2960,11044
430000.0,1850,9976,1850,0,2270,8542
650000.0,2150,21235,1590,560,2570,18900
289000.0,1260,8400,1260,0,1290,8750
505000.0,2519,8690,2519,0,2500,9500
549000.0,1540,1044,1540,0,1580,3090
425000.0,1660,6000,1110,550,1440,4080
317625.0,2770,3809,1770,1000,1440,4000
975000.0,2720,11049,2720,0,2750,11049
287000.0,2240,4648,2240,0,2221,4557
204000.0,1000,12070,1000,0,1010,12635
1325000.0,3200,20158,1600,1600,3390,20158
1040000.0,4770,50094,3070,1700,3530,38917
325000.0,1260,5612,1260,0,1640,4745
571000.0,2750,7807,2250,500,1510,7807
360000.0,2380,5000,2380,0,2420,5000
349000.0,1790,50529,1090,700,1940,50529
832500.0,3430,35102,2390,1040,3240,35020
380000.0,1760,7300,880,880,1680,7500
480000.0,1040,5060,1040,0,890,5060
410000.0,1410,5060,910,500,1130,5693
720000.0,3450,39683,3450,0,3350,39750
390000.0,2350,5100,2350,0,2350,5363
360000.0,1900,5889,1900,0,1870,6405
355000.0,2020,6720,1010,1010,1720,6720
356000.0,1680,8712,1680,0,1850,8797
315000.0,960,6634,960,0,1570,7203
940000.0,2140,3600,1900,240,2020,4800
305000.0,2660,8400,2660,0,1590,8165
461000.0,2770,6278,1980,790,1900,7349
215000.0,1610,2040,1610,0,1950,2025
335000.0,1030,1066,765,265,1030,1106
243500.0,1980,7403,1980,0,1980,7510
1099880.0,3520,6353,3520,0,2520,6250
153000.0,1200,10500,1200,0,1350,10500
430000.0,1580,5000,1290,290,1570,4500
700000.0,1580,5000,1290,290,1570,4500
905000.0,3300,10250,2390,910,1950,6045
247500.0,1960,15681,1960,0,1750,15616
199000.0,1160,6400,1160,0,1160,6400
314000.0,1810,41800,1210,600,1650,135036
